captured_at,source,ticker,name,quantity,cost_basis,avg_buy_price,price,change,change_pct,market_value,unrealized_pnl,unrealized_pnl_pct,volume,open,high,low
2026-07-06T09:50:41+09:00,KIS_OPEN_API,000270,기아,4,681200,170300,160500,8500,5.59,642000,-39200,-5.754550792718732,374443,153000,161300,150400
2026-07-06T09:50:41+09:00,KIS_OPEN_API,005930,삼성전자,7,2356500,336642.8571,321500,12000,3.88,2250500,-106000,-4.498196477827286,6452082,320000,325000,312500
2026-07-06T09:50:41+09:00,KIS_OPEN_API,035720,카카오,11,444550,40413.63636,35850,350,0.99,394350,-50200,-11.292318074457317,364242,35500,36300,35100
2026-07-06T09:50:41+09:00,KIS_OPEN_API,086790,하나금융지주,5,571500,114300,127100,1500,1.19,635500,64000,11.198600174978129,125771,125200,128100,124700
2026-07-06T09:50:41+09:00,KIS_OPEN_API,091160,KODEX반도체,8,1286700,160837.5,156840,-385,-0.24,1254720,-31980,-2.4854278386570297,655309,157515,159995,154500
2026-07-06T09:50:41+09:00,KIS_OPEN_API,360200,ACE 미국S&P500,157,4526260,28829.68153,28860,60,0.21,4531020,4760,0.10516408690618745,138962,28920,29025,28855
2026-07-06T09:50:41+09:00,KIS_OPEN_API,360750,TIGER 미국S&P500,373,9012610,24162.4933,28565,-40,-0.14,10654745,1642135,18.22041561767346,1687822,28630,28725,28560
2026-07-06T09:50:41+09:00,KIS_OPEN_API,379810,KODEX 미국나스닥100,415,10603835,25551.40964,30135,70,0.23,12506025,1902190,17.938698593480567,1964099,30225,30320,30105
2026-07-06T09:50:41+09:00,KIS_OPEN_API,0023A0,SOL 미국양자컴퓨팅TOP10,107,3101406,28985.1028,32440,210,0.65,3471080,369674,11.919561643976957,35885,32230,32550,32210
2026-07-06T09:50:41+09:00,KIS_OPEN_API,367380,ACE 미국나스닥100,56,1964910,35087.67857,34600,115,0.33,1937600,-27310,-1.3898855418314324,78815,34690,34800,34570
2026-07-06T09:50:41+09:00,KIS_OPEN_API,402970,ACE 미국배당다우존스,73,1157745,15859.52055,16055,35,0.22,1172015,14270,1.232568484424463,102935,16025,16135,16025
2026-07-06T09:50:41+09:00,KIS_OPEN_API,005940,NH투자증권,13,391950,30150,33950,2550,8.12,441350,49400,12.603648424543948,325267,31700,34000,31300
2026-07-06T09:50:41+09:00,KIS_OPEN_API,035420,네이버,3,652500,217500,198600,2800,1.43,595800,-56700,-8.689655172413794,207806,196600,201000,195300
